course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
gb-c-c-a2e747ab,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 구니C.C / 군위군 군위읍 도군로 2450 / 대중제,true,full_safe_batch_4
gb-g-c-19609616,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 군위오펠G.C / 군위군 산성면 부흥로 227 / 대중제,true,full_safe_batch_4
gb-course-539deb35,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 이지스카이CC / 군위군 군위읍 대흥1길 48-148 / 대중제,true,full_safe_batch_4
gb-course-2d2d4767,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 엠스클럽의성 / 의성군 봉양면 농공마전길 125-78 / 대중제,true,full_safe_batch_4
gb-c-c-2506a322,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 파라지오C.C / 의성군 봉양면 신평리 산50 / 대중제,true,full_safe_batch_4
gb-c-c-a6a36dde,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 오션비치C.C / 영덕군 강구면 동해대로 4265-43 / 대중제,true,full_safe_batch_4
gb-c-c-11685c7f,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 그레이스C.C / 청도군 이서면 서녁길 91 / 대중제,true,full_safe_batch_4
gb-g-c-0ad6ac6f,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 오션힐스청도G.C / 청도군 매전면 곰티로 370-204 / 대중제,true,full_safe_batch_4
gb-course-42c3af81,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 펜타뷰골프클럽 / 청도군 금천면 금천로 709 / 대중제,true,full_safe_batch_4
gb-c-c-e5a7f9a0,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 유니밸리C.C / 고령군 고령읍 일량로 588 / 대중제,true,full_safe_batch_4
